No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
67,Chromatic Aberration / RGB Split,General,"RGB split, color fringing, glitch, retro tech, VHS, analog error, distortion, lens effect","Offset RGB: Red #FF0000, Green #00FF00, Blue #0000FF, Black #000000","Neon accents, scan lines, noise overlays, error colors","RGB offset animation, glitch timing, scan line movement, noise flicker, distortion on hover","Music platforms, gaming, tech brands, creative portfolios, nightlife, entertainment, video platforms","Corporate, healthcare, finance, accessibility-critical, elderly users",✓ Full,✓ Dark preferred,⚠ Good,⚠ Can cause strain,◐ Medium,✓ High,"CSS filters 10/10, GSAP 10/10",2020s Retro-Tech,Medium,"Design with chromatic aberration RGB split effect. Use: color channel offset (R/G/B), glitch aesthetic, retro tech feel, VHS error look, lens distortion, scan lines, noise overlay, analog imperfection.","filter: drop-shadow with offset colors, text-shadow: RGB offset (-2px 0 red, 2px 0 cyan), animation: glitch (random offset), ::before for scanlines, mix-blend-mode: screen for overlays","☐ RGB split visible, ☐ Glitch effect controlled, ☐ Scan lines subtle, ☐ Performance ok, ☐ Readability maintained, ☐ Reduced motion option","--rgb-offset: 2px, --red-channel: #FF0000, --green-channel: #00FF00, --blue-channel: #0000FF, --glitch-duration: 0.3s, --scanline-opacity: 0.1"
68,Vintage Analog / Retro Film,General,"Film grain, VHS, cassette tape, polaroid, analog warmth, faded colors, light leaks, vintage photography","Faded Cream #F5E6C8, Warm Sepia #D4A574, Muted Teal #4A7B7C, Soft Pink #E8B4B8","Grain overlays, light leak oranges, shadow blues, vintage paper tones, desaturated accents","Film grain overlay, VHS tracking effect, polaroid shake, fade-in transitions, light leak animations","Photography portfolios, music/vinyl brands, vintage fashion, nostalgia marketing, film industry, cafes","Modern tech, SaaS, healthcare, children's apps, corporate enterprise",✓ Full,◐ Partial,⚡ Good,✓ WCAG AA,✓ High,✓ High,"CSS filters 10/10, Canvas 9/10",1970s-90s Analog Revival,Medium,"Design with vintage analog film aesthetic. Use: film grain overlay, faded/desaturated colors, warm sepia tones, light leaks, VHS tracking effect, polaroid frame, analog warmth, nostalgic photography feel.","filter: sepia() contrast() saturate(0.8), background: noise texture overlay, animation: VHS tracking (transform skew), light leak gradient overlay, border for polaroid frame, grain via SVG filter","☐ Film grain visible, ☐ Colors faded/warm, ☐ Light leaks present, ☐ Nostalgic feel achieved, ☐ Performance with filters, ☐ Images look vintage","--sepia-amount: 20%, --contrast: 1.1, --saturation: 0.8, --grain-opacity: 0.15, --light-leak-color: rgba(255,200,100,0.2), --warm-tint: #F5E6C8"
69,Anticipatory / Generative UI,General,"AI-generated UI, predictive interface, adaptive layout, intent-based, personalized, dynamic components, context-aware, generative design","Neutral canvas: White #FFFFFF, Soft Grey #F3F4F6, brand accent","AI accent: Violet #7C3AED, Adaptive highlights, context-dependent colors","Morphing layouts, content rearrangement animation, predictive loading, smooth state transitions, skeleton to content","AI products, personalized dashboards, recommendation engines, adaptive tools, smart home apps","Static content sites, regulatory/compliance, print-like layouts, archival sites",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,✓ High,✓ Very High,"React 10/10, Next.js 10/10, Svelte 9/10",2025+ AI Era,High,"Design an anticipatory generative interface. Use: AI-driven layout adaptation, predictive content loading, intent-based navigation, context-aware components, personalized UI elements, dynamic rearrangement, smart defaults.","Server components for personalization, dynamic imports, skeleton-to-content transitions, CSS container queries for adaptive cards, localStorage for preferences, A/B layout testing","☐ AI personalization works, ☐ Layout adapts to context, ☐ Loading states smooth, ☐ Fallback UI provided, ☐ User can override AI choices, ☐ Performance acceptable","--ai-accent: #7C3AED, --transition-morph: 400ms, --skeleton-color: #E5E7EB, --content-max-width: adaptive, --personalization-level: high"
70,View Transition Style,General,"view transitions, page transition, morph, cross-fade, shared element, native CSS transition, document transition, navigation animation","Brand-dependent, transition-neutral","Overlay colors during transition, morphing element highlights","CSS View Transition API, cross-document transitions, shared element morph, cross-fade, nested groups, scroll-driven view transitions","Multi-page apps, SPAs, e-commerce product pages, portfolios, blogs, documentation sites","Single-page dashboards, real-time data, chat apps, minimal navigation",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA (with reduced-motion),✓ High,✓ High,"CSS 10/10, Next.js 10/10, Astro 10/10",2025+ Native Transitions,Low,"Design with CSS View Transition API. Use: cross-document transitions, shared element morphing, cross-fade between pages, nested view-transition-groups, smooth navigation, page-level animations without JavaScript.","view-transition-name on shared elements, ::view-transition-old/new pseudo-elements, @keyframes for transition, document.startViewTransition(), cross-document: @view-transition { navigation: auto }, prefers-reduced-motion check","☐ View transitions work, ☐ Shared elements morph, ☐ Cross-fade smooth, ☐ Reduced motion fallback, ☐ Mobile performance ok, ☐ Cross-browser tested","--transition-duration: 300ms, --morph-easing: ease-in-out, --fade-opacity: 0, --shared-element-scale: 1, --cross-fade-blend: normal"
71,Scroll-Driven Animation Style,General,"scroll animation, scroll-driven, scroll timeline, parallax modern, scroll-linked, scroll progress, view timeline, CSS scroll","Brand-dependent, scroll-neutral","Progress indicator colors, reveal effect colors, parallax layer tints","animation-timeline: scroll(), animation-timeline: view(), scroll-triggered reveals, progress bars, parallax without JS, scroll-linked transforms","Long-form content, storytelling, portfolios, landing pages, product showcases, documentation","Short pages, dashboards, forms, real-time apps, chat interfaces",✓ Full,✓ Full,⚡ Excellent (CSS-only),✓ WCAG AA (with reduced-motion),✓ High,✓ High,"CSS 10/10, Tailwind 9/10",2025+ Scroll Era,Medium,"Design with CSS scroll-driven animations. Use: animation-timeline scroll(), view-timeline for element reveals, scroll progress indicator, parallax without JavaScript, scroll-linked opacity/transform, staggered reveals on scroll.","animation-timeline: scroll() or view(), animation-range: entry 0% cover 40%, @keyframes reveal { from { opacity: 0; transform: translateY(20px) } to { opacity: 1; transform: translateY(0) } }, scroll-timeline on container","☐ Scroll animations work, ☐ Progress indicator visible, ☐ Parallax smooth, ☐ No JS required, ☐ Reduced motion respected, ☐ Mobile scroll natural","--scroll-reveal-distance: 20px, --scroll-fade-range: entry 0% cover 40%, --progress-color: primary, --parallax-speed: 0.5, --stagger-delay: 50ms"
72,Container-Query Adaptive,General,"container queries, component responsive, intrinsic design, fluid components, container-based, @container, cqi, cqw","Brand-dependent, component-neutral","Adaptive component colors, state-dependent highlights","Smooth layout shifts, container-responsive transitions, grid rearrangement, card layout morphing","Design systems, component libraries, widget-based dashboards, CMS themes, reusable UI kits","Simple static pages, single-layout apps, print stylesheets",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ Excellent,✓ High,"CSS 10/10, Tailwind 10/10",2025+ Component Era,Medium,"Design with CSS container queries. Use: @container for component-level responsive design, container query units (cqi/cqw), intrinsic component sizing, fluid layouts independent of viewport, container-type: inline-size on parents.","container-type: inline-size, @container (min-width: 400px) { grid-template-columns: 1fr 1fr }, container query units: font-size: clamp(0.875rem 3cqi 1.25rem), component isolation","☐ Container queries work, ☐ Components adapt to parent, ☐ No viewport dependency, ☐ Nested containers handled, ☐ Fallback for old browsers, ☐ Design system integrated","--container-sm: 300px, --container-md: 500px, --container-lg: 700px, --fluid-min: 0.875rem, --fluid-max: 1.25rem, --card-min-width: 280px"
73,Monochromatic Luxury,General,"single color, monochrome, tonal, one-hue, sophisticated, premium, tints and shades, depth through tone","Single hue with 5-7 tints/shades. Example: Navy #0A1628 to Sky #DBEAFE","Same hue at different lightness levels, metallic accent (gold/silver) optional","Subtle hover tone shifts, shadow depth variations, smooth gradient transitions within hue, elegant reveals","Luxury brands, fashion, premium SaaS, architectural firms, law firms, high-end services","Multi-category content, data visualization, playful brands, children apps",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 10/10, CSS 10/10",Timeless Luxury,Low,"Design a monochromatic luxury interface. Use: single color hue with 5-7 tints/shades, depth through tonal variation, subtle metallic accents, elegant typography, generous whitespace, premium feel through restraint.","Single hue palette: color: hsl(220 * *) with varied lightness, background variations by lightness, border: tint, shadow: darker shade, text: darkest shade, accent: gold/silver sparingly","☐ Single hue used, ☐ 5+ tonal variations, ☐ Contrast sufficient, ☐ Metallic accent subtle, ☐ Premium feel achieved, ☐ Typography elegant","--hue: 220, --shade-900: hsl(220 90% 10%), --shade-700: hsl(220 80% 25%), --shade-500: hsl(220 70% 50%), --shade-300: hsl(220 60% 75%), --shade-100: hsl(220 50% 95%)"
74,Pastel Dream,General,"soft pastels, dreamy, gentle, cotton candy, baby colors, soft gradient, calming, light, airy, whimsical","Soft Lavender #E8D5F5, Mint #D5F5E3, Baby Pink #FFE0E6, Sky Blue #D5E8F5, Peach #FFE5D0","Soft Yellow #FFF5D5, Light Coral #FFD5D5, Sage #E0EFE0, warm whites","Gentle fade transitions, soft gradient flow, subtle float animation, dreamy blur effects, light parallax","Wellness apps, baby/children brands, beauty/skincare, wedding, lifestyle, meditation, gentle consumer","Finance, enterprise, gaming, dark tech, automotive, heavy industry",✓ Full,◐ Light preferred,⚡ Excellent,✓ WCAG AA (careful),✓ High,✓ High,"Tailwind 10/10, CSS 10/10",2025+ Soft Aesthetic,Low,"Design with pastel dream aesthetic. Use: soft pastel colors, gentle gradients, airy whitespace, rounded corners, dreamy blur effects, light float animations, calming visual rhythm, cotton candy feel.","background: linear-gradient(135deg #E8D5F5 #D5F5E3 #FFE0E6), border-radius: 16-24px, box-shadow: soft pastel, opacity transitions, filter: blur for dreamy overlays","☐ Pastels consistent, ☐ Gradients smooth, ☐ Text contrast ok, ☐ Dreamy feel achieved, ☐ Not childish, ☐ Whitespace generous","--lavender: #E8D5F5, --mint: #D5F5E3, --pink: #FFE0E6, --sky: #D5E8F5, --peach: #FFE5D0, --radius: 20px, --shadow-soft: 0 8px 32px rgba(0 0 0 0.06)"
75,Neon Glow,General,"neon, glow, cybernetic, electric, fluorescent, LED, night, dark glow, bright accents, luminous","Dark base: Near Black #0A0A0F, Dark Blue #0D1B2A","Neon Pink #FF00FF, Electric Blue #00FFFF, Lime Green #39FF14, Neon Orange #FF6600, Hot Yellow #FFFF00","Glow pulse animation, neon flicker, hover glow intensify, text-shadow glow, border glow, box-shadow glow layers","Nightlife, gaming, music, entertainment, creative agencies, event marketing, tech launches","Corporate, healthcare, education, government, accessibility-critical, elderly users",◐ Partial,✓ Dark required,⚡ Good,⚠ Contrast challenging,✓ Good,✓ Very High,"Tailwind 9/10, CSS 10/10",2020s-2025 Neon Revival,Medium,"Design with neon glow aesthetic. Use: dark background, neon-colored accents, glow effects (text-shadow/box-shadow), pulsing animations, LED-like elements, fluorescent highlights, cybernetic feel, electric color pops.","text-shadow: 0 0 10px #FF00FF 0 0 20px #FF00FF 0 0 40px #FF00FF, box-shadow: 0 0 15px rgba(0 255 255 0.5), background: #0A0A0F, border: 1px solid neon, animation: glow-pulse","☐ Dark base applied, ☐ Neon accents visible, ☐ Glow effects smooth, ☐ Text readable, ☐ Not overwhelming, ☐ Reduced motion option","--neon-pink: #FF00FF, --neon-cyan: #00FFFF, --neon-green: #39FF14, --glow-spread: 20px, --glow-intensity: 0.5, --dark-bg: #0A0A0F, --pulse-duration: 2s"
76,Retro Terminal / CLI,General,"terminal, CLI, console, command line, monospace, hacker, matrix, green screen, retro computing, DOS","Green #00FF41 or Amber #FFB000 on Black #000000 or Dark #0D1117","Cursor blink color, error red, success green, warning amber, link cyan #00FFFF","Typing animation, cursor blink, text scroll, glitch occasional, scan line subtle, command echo","Developer tools, coding platforms, security apps, hacker aesthetic, retro games, CLI documentation","Consumer products, fashion, food, children, luxury brands, formal business",◐ Partial,✓ Dark required,⚡ Excellent,⚠ Screen reader (good) visual (limited),✓ Good,◐ Medium,"Tailwind 10/10, CSS 10/10",1970s-80s Computing Revival,Low,"Design with retro terminal CLI aesthetic. Use: monospace font, green/amber on dark background, typing animation, cursor blink, command-line interface look, scan lines, phosphor glow, retro computing feel.","font-family: Fira Code/monospace, color: #00FF41, background: #000000, text-shadow: 0 0 5px green glow, animation: blink for cursor, letter-spacing: 0.05em, line-height: 1.6","☐ Monospace font used, ☐ Terminal colors correct, ☐ Cursor blinks, ☐ Typing effect works, ☐ Scan lines subtle, ☐ Readable on screen","--terminal-green: #00FF41, --terminal-amber: #FFB000, --bg-dark: #0D1117, --font-mono: Fira Code, --cursor-blink: 1s, --glow-intensity: 5px"
77,Frosted Crystal,General,"crystal, ice, diamond, faceted, refraction, prismatic glass, transparent depth, jewel-like, frozen, ethereal","Translucent Crystal: rgba(255 255 255 / 0.05-0.15), Ice Blue #E0F2FE","Diamond White #F8FAFF, Frost Silver #C8D6E5, Refraction Purple #A78BFA, Prism Rainbow","Heavy backdrop-blur (20-40px), prismatic light refraction, crystalline border highlights, shimmer animation, multi-layer transparency","Premium brands, jewelry, winter campaigns, spa/beauty, fashion, event invitations, luxury tech","Warm brands, organic/natural, budget/discount, heavy text content, data tables",✓ Light preferred,✓ Full,⚠ Moderate (blur heavy),⚠ Contrast needed,✓ Good,✓ High,"CSS 9/10, WebGL 10/10",2025+ Crystal Evolution,High,"Design with frosted crystal aesthetic. Use: heavy backdrop-blur, crystalline transparency, prismatic light effects, diamond-like facets, ice blue accents, multi-layer depth, shimmer on hover, ethereal frozen feel.","backdrop-filter: blur(30px) saturate(1.2), background: rgba(255 255 255 / 0.08), border: 1px solid rgba(255 255 255 / 0.15), box-shadow: crystalline multi-layer, animation: shimmer","☐ Crystal transparency visible, ☐ Backdrop blur heavy, ☐ Prismatic effect present, ☐ Text contrast ok, ☐ Performance acceptable, ☐ Mobile fallback","--blur-heavy: 30px, --crystal-opacity: 0.08, --frost-border: rgba(255 255 255 / 0.15), --shimmer-angle: 135deg, --refraction-color: #A78BFA, --ice-blue: #E0F2FE"
78,Digital Collage / Mixed Media,General,"collage, mixed media, scrapbook, layered, cutout, photo-illustration, hand-drawn, texture mix, analog-digital","Eclectic: Paper White #FFF8F0, Photo overlay, Bold accent #FF4500","Texture swatches, handwritten accent, marker colors, tape/sticker elements","Staggered reveal, parallax layers, rotate-in, random offsets, collage assembly animation, hover lift","Creative agencies, fashion brands, zines, music artists, art galleries, youth marketing, editorial","Corporate, finance, legal, healthcare, government, data-heavy applications",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,✓ Good,✓ High,"CSS 10/10, GSAP 10/10",2025+ Creative Mix,Medium,"Design with digital collage mixed media style. Use: layered cutout elements, photo-illustration mix, hand-drawn accents, texture overlays, scrapbook feel, analog-digital blend, sticker/tape elements, eclectic layout.","rotate: random(-3deg to 3deg), box-shadow: rough edges, background: paper texture, mix of photos + illustrations + text, clip-path for cutouts, z-index stacking, handwritten fonts","☐ Collage feel achieved, ☐ Mixed media layered, ☐ Hand-drawn elements present, ☐ Textures varied, ☐ Layout intentionally messy, ☐ Mobile still usable","--paper-bg: #FFF8F0, --rotation-range: 3deg, --shadow-rough: 2px 3px 0 #000, --tape-color: rgba(255 240 200 / 0.8), --marker-accent: #FF4500"
79,Grain & Noise Texture,General,"grain, noise, film grain, texture overlay, subtle texture, depth through noise, tactile screen, analog feel, matte finish","Warm neutrals with grain: Cream #FEFCE8, Warm Grey #78716C, Dark Charcoal #1C1917","Muted brand colors, desaturated accents, warm undertones, sepia hints","Subtle grain movement, gentle noise animation, soft transitions, organic easing, matte hover effects","Photography, creative portfolios, artisan brands, coffee shops, craft products, indie brands, editorial","Bright consumer, children, clinical/medical, data viz, gaming",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ Medium,"CSS 10/10, SVG filter 10/10",2025+ Texture Revival,Low,"Design with grain noise texture overlay. Use: subtle film grain, noise texture on backgrounds, warm muted colors, matte finish feel, organic tactile quality, analog screen feel, gentle texture movement.","SVG filter: feTurbulence + feColorMatrix for grain, background-blend-mode, mix-blend-mode: multiply for texture, opacity: 0.1-0.2 for subtlety, animation: grain-shift for movement","☐ Grain visible but subtle, ☐ Warm tones applied, ☐ Matte finish feel, ☐ Performance ok, ☐ Text readable over grain, ☐ Mobile renders ok","--grain-opacity: 0.12, --grain-size: 0.6, --warm-cream: #FEFCE8, --charcoal: #1C1917, --grain-animation: 0.5s, --texture-blend: multiply"
80,Minimal Line Art,General,"line art, outline, wireframe, thin lines, stroke-based, contour, vector minimal, linear, single weight","Monochrome: Black #000000, White #FFFFFF, single accent color optional","Thin line Grey #D1D5DB, hover accent, subtle fill on interaction","Line draw animation (SVG stroke-dashoffset), hover fill, path reveal, minimal transitions","Portfolios, architectural firms, design studios, luxury minimal, consulting, professional services","Playful brands, children, gaming, heavy media, complex dashboards",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"SVG 10/10, CSS 10/10, Tailwind 10/10",Timeless Linear,Low,"Design with minimal line art style. Use: thin consistent stroke weight, outline-only icons and illustrations, monochrome palette, SVG line animations, contour-based visual language, generous whitespace, vector minimal aesthetic.","stroke-width: 1-2px consistent, fill: none for outlines, stroke-dasharray/dashoffset for draw animation, border: 1px solid, icon: outline style, minimal color fill","☐ Lines consistent weight, ☐ Outlines clean, ☐ Monochrome maintained, ☐ Draw animations smooth, ☐ Whitespace generous, ☐ Typography clean","--stroke-width: 1.5px, --stroke-color: #000000, --fill: none, --accent: single color, --draw-duration: 1s, --line-cap: round"
81,Card-First Modular,General,"card-based, modular, tile, block, widget, stackable, rearrangeable, dashboard-like, content block, panel","Card surface: White #FFFFFF or subtle #F9FAFB, border #E5E7EB","Card hover: shadow lift, selected: accent border, grouped: category color","Card hover lift, stagger reveal, drag-and-drop, expand/collapse, flip animation, reorder transition","Dashboards, admin panels, CMS, portfolio grids, news aggregators, widget-based apps, kanban boards","Long-form content, single-focus pages, minimal landing pages, narrative flow",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 10/10, React 10/10, CSS Grid 10/10",2025+ Modular Design,Low,"Design with card-first modular approach. Use: consistent card components, grid-based layout, card hover states, stackable content blocks, drag-and-drop rearrangement, expand/collapse cards, clear card hierarchy.","display: grid, gap: 1rem, card: rounded-xl shadow-sm border, hover: shadow-lg translate-y(-2px), grid-template-columns: repeat(auto-fill minmax(300px 1fr)), transition: all 200ms","☐ Cards consistent, ☐ Grid layout clean, ☐ Hover states smooth, ☐ Responsive grid works, ☐ Card hierarchy clear, ☐ Mobile stack clean","--card-radius: 12px, --card-shadow: 0 1px 3px rgba(0 0 0 / 0.1), --card-hover-shadow: 0 10px 25px rgba(0 0 0 / 0.1), --card-gap: 1rem, --card-padding: 1.5rem"
82,Content-First Reader,General,"reader mode, readability, content-first, long-form, article, blog, documentation, prose-focused, medium-style","Off-white: #FAFAF9 or Warm #FFFBEB, Text: Dark #1A1A1A","Muted links, subtle dividers, light code blocks, footnote accents","Smooth scroll, reading progress bar, gentle fade-in, table of contents highlight, footnote popup","Blogs, documentation, news articles, research papers, knowledge bases, long-form content, wikis","E-commerce, dashboards, visual portfolios, interactive apps, gaming",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Tailwind 10/10, CSS 10/10",Timeless Readability,Low,"Design content-first reader interface. Use: optimal line-length (65-75ch), generous line-height (1.6-1.75), readable font size (18-20px), off-white background, reading progress indicator, clean typography, minimal UI chrome.","max-width: 65ch, line-height: 1.7, font-size: 18px, font-family: Georgia/serif for body, margin: generous, headings: clear hierarchy, code: monospace blocks, links: underlined","☐ Line length 65-75ch, ☐ Line height 1.6+, ☐ Font size 18px+, ☐ Contrast excellent, ☐ Typography hierarchy, ☐ Mobile reading good","--prose-width: 65ch, --body-size: 18px, --line-height: 1.7, --bg-warm: #FAFAF9, --text-dark: #1A1A1A, --heading-scale: 1.25, --reading-progress: primary"
83,Layered Paper / Material 3,General,"material design 3, layered surfaces, tonal surfaces, dynamic color, you-themed, paper stack, elevation system, surface tint","Surface tint from primary: Primary #6750A4 tinted surfaces at different elevations","Secondary #625B71, Tertiary #7D5260, surface containers: 1-5 levels, on-surface colors","Smooth elevation transitions, ripple effect, container transform, shared axis transitions, emphasis animation","Android apps (web), Google ecosystem, material-compatible products, enterprise apps, productivity tools","iOS-style apps, luxury brands, highly custom branded, artistic/creative",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"MUI 10/10, Tailwind 8/10, CSS 9/10",2023+ Material 3,Medium,"Design with Material 3 layered paper aesthetic. Use: tonal surface colors, dynamic color from primary, elevation with surface tint, container components, ripple interactions, M3 typography scale, shape system.","Surface tint: mix(primary surface elevation%), elevation: 0-5 levels, ripple: radial-gradient animation, shape: rounded corners (8/12/16px), container: padding + tint, motion: shared axis","☐ Surface tints correct, ☐ Elevation visible, ☐ Ripple effect works, ☐ Typography M3 scale, ☐ Shape system consistent, ☐ Dynamic color applied","--md-primary: #6750A4, --md-surface: #FFFBFE, --md-elevation-1: mix(primary 5%), --md-elevation-3: mix(primary 11%), --md-shape-md: 12px, --md-ripple-opacity: 0.12"
84,Dashboard Dark Elite,General,"premium dark dashboard, executive dark, glowing metrics, dark analytics, status glow, dark glassmorphism, elite data","Near Black #0F172A or #111827, Slate #1E293B, card #1F2937","Accent glow: Electric Blue #3B82F6, Emerald #10B981, Amber #F59E0B, status-coded colors","Metric count-up, chart animate-in, glow pulse on status change, smooth data refresh, glassmorphic cards on dark","Admin dashboards, analytics platforms, monitoring tools, developer tools, trading platforms, server management","Consumer-facing, marketing sites, content blogs, e-commerce storefronts, children apps",◐ Partial,✓ Dark primary,⚡ Excellent,✓ WCAG AA,✓ High,✓ Very High,"Tailwind 10/10, Recharts 10/10, Tremor 10/10",2025+ Dark Analytics,Medium,"Design premium dark elite dashboard. Use: deep dark backgrounds, glowing metric accents, glassmorphic dark cards, status-coded colors, chart animations, count-up numbers, subtle glow on hover, executive data presentation.","bg: #0F172A, card: bg-slate-800/50 backdrop-blur, text: white/gray-300, accent: glow box-shadow (0 0 15px rgba(59 130 246 / 0.3)), charts: dark theme, borders: slate-700","☐ Dark bg consistent, ☐ Cards glassmorphic, ☐ Metrics glow, ☐ Status colors clear, ☐ Charts dark theme, ☐ Text contrast sufficient","--bg-base: #0F172A, --card-bg: rgba(30 41 59 / 0.5), --glow-blue: rgba(59 130 246 / 0.3), --glow-green: rgba(16 185 129 / 0.3), --text-primary: #F1F5F9, --border: #334155"
85,AI Chat / Conversational UI,General,"chat interface, conversational, message bubbles, AI assistant, chatbot, dialogue, thread, streaming text","Light: #FFFFFF bg, User bubble #EFF6FF, AI bubble #F3F4F6. Dark: #111827 bg","Brand accent for user, muted for AI, code block bg, link highlight, status indicator","Typing indicator dots, message slide-in, streaming text character-by-character, fade on send, smooth scroll to bottom","AI assistants, customer support, chatbots, collaborative tools, messaging apps, co-pilot interfaces","Static content, product catalogs, documentation, image galleries, dashboards",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"React 10/10, Tailwind 10/10",2024-2026 AI Chat Era,Medium,"Design an AI chat conversational interface. Use: message bubbles with clear sender distinction, typing indicator, streaming text effect, code block formatting, smooth auto-scroll, thread/conversation view, input with send button.","flex flex-col, message: rounded-2xl px-4 py-2, user: bg-blue-50 ml-auto, ai: bg-gray-100 mr-auto, typing: dot animation, stream: character reveal, scroll: scroll-smooth, code: monospace bg-gray-900","☐ Bubbles distinct, ☐ Typing indicator works, ☐ Streaming smooth, ☐ Code blocks styled, ☐ Auto-scroll works, ☐ Mobile keyboard handled","--user-bubble: #EFF6FF, --ai-bubble: #F3F4F6, --input-bg: #FFFFFF, --border-radius: 1rem, --message-gap: 0.75rem, --typing-dot-size: 8px, --stream-speed: 30ms"
86,Neo-Minimalism,General,"neo-minimal, warm minimalism, organic shapes, subtle shadows, humanized, soft gradients, natural, emotional, restrained","Warm neutrals: Soft White #FAFAF9, Warm Gray #78716C, Stone #D6D3D1","Muted accents: Sage #84A98C, Warm Sand #C2B280, Blush #E8C4C4, single brand accent","Subtle hover fade (200ms), soft shadow on scroll, gentle parallax, organic curve transitions, fade-in on scroll","Lifestyle brands, wellness apps, personal portfolios, boutique e-commerce, editorial, sustainable brands","Data-heavy dashboards, gaming, aggressive marketing, enterprise tools",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 10/10, CSS 10/10",2025-2026 Neo-Minimal,Low,"Design a neo-minimalist interface. Use: warm neutral palette, organic rounded shapes, subtle soft shadows, generous white space, restrained typography, gentle hover transitions, emotionally warm but visually clean.","border-radius: 16-24px, box-shadow: 0 4px 20px rgba(0,0,0,0.04), bg: warm neutrals #FAFAF9, font-weight: 300-500, transition: 200ms ease, max-width constrained","☐ Warm neutral bg verified, ☐ Organic border-radius, ☐ Subtle shadows only, ☐ Typography restrained, ☐ Single accent color, ☐ White space generous","--bg: #FAFAF9, --border-radius: 1rem, --shadow-soft: 0 4px 20px rgba(0,0,0,0.04), --accent: single warm, --font-weight-body: 400, --spacing-base: 1.5rem"
87,AI-Native UI,General,"AI native, streaming text, token counter, context window, generative UI, co-pilot, prompt input, model selector, response streaming","Light: #FFFFFF, Surface #F9FAFB. Dark: #0F172A, Surface #1E293B","Purple AI accent #8B5CF6, Success #10B981, Warning #F59E0B, Token meter gradient","Streaming text character reveal, typing dots, progress shimmer, model switching fade, context meter animation, response skeleton","AI platforms, co-pilot UIs, LLM interfaces, AI-powered SaaS, chatbot builders, prompt engineering tools","Static content sites, traditional e-commerce, simple marketing pages",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,✓ High,✓ High,"React 10/10, Tailwind 10/10, Next.js 10/10",2024-2026 AI Era,Medium,"Design an AI-native interface. Use: streaming text animation, token/context usage meter, model selector, prompt input with send button, response skeleton loading, code block with copy, conversation thread, temperature/parameter controls.","streaming: character-by-character reveal, skeleton: pulse animation, meter: linear-gradient progress, code: monospace bg-zinc-900, input: auto-resize textarea, thread: flex-col gap-4","☐ Streaming smooth, ☐ Token meter visible, ☐ Model selector works, ☐ Code blocks copyable, ☐ Mobile keyboard handled, ☐ Context length shown","--ai-accent: #8B5CF6, --stream-speed: 20ms, --token-meter-bg: linear-gradient, --code-bg: #18181B, --input-min-h: 48px, --response-gap: 1rem"
88,Mesh Gradient 2.0,General,"mesh gradient, conic gradient, multi-stop radial, aurora evolved, color blending, vibrant background, generative gradient, CSS gradient art","Gradient stops: #6366F1, #8B5CF6, #EC4899, #F43F5E, #FB923C","Neutral text layer: White/Black. Gradient is decorative background only.","Gradient morph (slow 8-15s), color shift on scroll, parallax gradient layer, subtle noise overlay texture","Creative agencies, music/entertainment, fashion, art galleries, app landing pages, portfolio showcases","Enterprise, government, healthcare, accessibility-critical, text-heavy content",✓ Full,✓ Full,⚠ Good,⚠ Ensure text contrast,✓ Good,✓ High,"Tailwind 9/10, CSS 10/10",2024-2026 Gradient Evolution,Medium,"Design with advanced mesh gradients. Use: multi-stop conic/radial gradients, gradient morph animation, noise texture overlay, text on solid surface over gradient bg, subtle color shifts, vibrant decorative backgrounds.","background: conic-gradient(from 45deg at 50% 50%, #6366F1, #8B5CF6, #EC4899, #F43F5E, #FB923C, #6366F1), filter: blur(60px), background-size: 200% 200%, animation: gradient-shift 15s ease infinite","☐ Text on solid surface, ☐ Gradient decorative only, ☐ Contrast verified, ☐ Performance OK (blur), ☐ Reduced-motion handled, ☐ Not distracting","--gradient-1: #6366F1, --gradient-2: #8B5CF6, --gradient-3: #EC4899, --gradient-blur: 60px, --gradient-speed: 15s, --noise-opacity: 0.03"
